Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,Dropped,TimeInSeconds,msInPresentAPI,msBetweenPresents,msUntilRenderComplete,msUntilDisplayed,msBetweenDisplayChange
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.017826,0.5,17.826,1.0,1.5,17.826
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.034245,0.5,16.419,1.0,1.5,16.419
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.053328,0.5,19.083,1.0,1.5,19.083
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.070109,0.5,16.781,1.0,1.5,16.781
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.088124,0.5,18.015,1.0,1.5,18.015
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.104250,0.5,16.125,1.0,1.5,16.125
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.120698,0.5,16.449,1.0,1.5,16.449
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.136959,0.5,16.261,1.0,1.5,16.261
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.153710,0.5,16.750,1.0,1.5,16.750
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.169572,0.5,15.862,1.0,1.5,15.862
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.188142,0.5,18.570,1.0,1.5,18.570
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.205182,0.5,17.040,1.0,1.5,17.040
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.220976,0.5,15.794,1.0,1.5,15.794
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.238908,0.5,17.932,1.0,1.5,17.932
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.255109,0.5,16.201,1.0,1.5,16.201
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.271361,0.5,16.252,1.0,1.5,16.252
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.288249,0.5,16.888,1.0,1.5,16.888
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.305410,0.5,17.162,1.0,1.5,17.162
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.323342,0.5,17.932,1.0,1.5,17.932
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.340125,0.5,16.783,1.0,1.5,16.783
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.357184,0.5,17.059,1.0,1.5,17.059
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.373763,0.5,16.579,1.0,1.5,16.579
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.389238,0.5,15.476,1.0,1.5,15.476
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.405590,0.5,16.352,1.0,1.5,16.352
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.421876,0.5,16.285,1.0,1.5,16.285
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.438260,0.5,16.384,1.0,1.5,16.384
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.454160,0.5,15.900,1.0,1.5,15.900
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.470411,0.5,16.251,1.0,1.5,16.251
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.485594,0.5,15.183,1.0,1.5,15.183
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.501711,0.5,16.117,1.0,1.5,16.117
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.517355,0.5,15.643,1.0,1.5,15.643
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.534144,0.5,16.789,1.0,1.5,16.789
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.550824,0.5,16.680,1.0,1.5,16.680
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.570052,0.5,19.228,1.0,1.5,19.228
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.585424,0.5,15.372,1.0,1.5,15.372
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.602481,0.5,17.057,1.0,1.5,17.057
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.620449,0.5,17.967,1.0,1.5,17.967
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.637274,0.5,16.825,1.0,1.5,16.825
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.654553,0.5,17.279,1.0,1.5,17.279
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.671242,0.5,16.689,1.0,1.5,16.689
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.686853,0.5,15.611,1.0,1.5,15.611
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.703702,0.5,16.849,1.0,1.5,16.849
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.721748,0.5,18.047,1.0,1.5,18.047
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.738904,0.5,17.155,1.0,1.5,17.155
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.756293,0.5,17.389,1.0,1.5,17.389
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.774164,0.5,17.871,1.0,1.5,17.871
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.792427,0.5,18.263,1.0,1.5,18.263
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.811132,0.5,18.705,1.0,1.5,18.705
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.828161,0.5,17.029,1.0,1.5,17.029
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.842093,0.5,13.932,1.0,1.5,13.932
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.859352,0.5,17.260,1.0,1.5,17.260
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.876747,0.5,17.395,1.0,1.5,17.395
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.894272,0.5,17.525,1.0,1.5,17.525
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.911157,0.5,16.885,1.0,1.5,16.885
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.928063,0.5,16.906,1.0,1.5,16.906
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.944085,0.5,16.022,1.0,1.5,16.022
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.962296,0.5,18.211,1.0,1.5,18.211
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.981222,0.5,18.926,1.0,1.5,18.926
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,0.999065,0.5,17.843,1.0,1.5,17.843
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.017452,0.5,18.387,1.0,1.5,18.387
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.035170,0.5,17.717,1.0,1.5,17.717
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.052113,0.5,16.944,1.0,1.5,16.944
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.068191,0.5,16.078,1.0,1.5,16.078
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.085673,0.5,17.482,1.0,1.5,17.482
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.102847,0.5,17.174,1.0,1.5,17.174
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.118370,0.5,15.524,1.0,1.5,15.524
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.135292,0.5,16.921,1.0,1.5,16.921
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.150744,0.5,15.452,1.0,1.5,15.452
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.168343,0.5,17.600,1.0,1.5,17.600
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.182938,0.5,14.595,1.0,1.5,14.595
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.197824,0.5,14.886,1.0,1.5,14.886
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.215201,0.5,17.377,1.0,1.5,17.377
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.232232,0.5,17.031,1.0,1.5,17.031
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.248053,0.5,15.821,1.0,1.5,15.821
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.265222,0.5,17.169,1.0,1.5,17.169
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.282383,0.5,17.162,1.0,1.5,17.162
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.298539,0.5,16.156,1.0,1.5,16.156
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.315423,0.5,16.884,1.0,1.5,16.884
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.330057,0.5,14.634,1.0,1.5,14.634
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.346338,0.5,16.282,1.0,1.5,16.282
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.360984,0.5,14.646,1.0,1.5,14.646
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.377839,0.5,16.855,1.0,1.5,16.855
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.393632,0.5,15.793,1.0,1.5,15.793
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.408989,0.5,15.357,1.0,1.5,15.357
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.424690,0.5,15.701,1.0,1.5,15.701
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.442771,0.5,18.082,1.0,1.5,18.082
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.459674,0.5,16.903,1.0,1.5,16.903
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.475743,0.5,16.068,1.0,1.5,16.068
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.493139,0.5,17.396,1.0,1.5,17.396
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.509330,0.5,16.190,1.0,1.5,16.190
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.527183,0.5,17.853,1.0,1.5,17.853
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.545591,0.5,18.409,1.0,1.5,18.409
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.561894,0.5,16.302,1.0,1.5,16.302
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.576641,0.5,14.747,1.0,1.5,14.747
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.592909,0.5,16.269,1.0,1.5,16.269
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.609714,0.5,16.805,1.0,1.5,16.805
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.626109,0.5,16.394,1.0,1.5,16.394
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.642986,0.5,16.877,1.0,1.5,16.877
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.659584,0.5,16.598,1.0,1.5,16.598
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.676549,0.5,16.965,1.0,1.5,16.965
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.692745,0.5,16.196,1.0,1.5,16.196
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.709391,0.5,16.647,1.0,1.5,16.647
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.727614,0.5,18.222,1.0,1.5,18.222
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.743582,0.5,15.968,1.0,1.5,15.968
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.759166,0.5,15.584,1.0,1.5,15.584
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.778251,0.5,19.085,1.0,1.5,19.085
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.795694,0.5,17.443,1.0,1.5,17.443
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.812704,0.5,17.010,1.0,1.5,17.010
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.830410,0.5,17.706,1.0,1.5,17.706
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.847590,0.5,17.180,1.0,1.5,17.180
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.864586,0.5,16.996,1.0,1.5,16.996
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.882308,0.5,17.722,1.0,1.5,17.722
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.898332,0.5,16.023,1.0,1.5,16.023
GTAIV.exe,1234,0x0,DXGI,0,0,0,Hardware: Legacy Flip,0,1.912792,0.5,14.460,1.0,1.5,14.460
